code,type,subtype,manufacturer,model,description,value,package,info
XIAO32S3,development board,ESP32,XIAO,S3,XIAO microcontroller based on ESP32S3,,,
SPRINGKI,springs,compression,Dianruii,KP-051-300,Compression springs assortment kit,,,
ICM20948,sensor board,ICM20948,ICM,20948,9 DoF Motion sensor (gyroscope compass accelerometer),,,
RFLORA12,transceiver board,RF Transceiver,HopeRF,sx1276,Radio frequency module based on LoRa1276,,,
UVSENSOR,sensor board,UV sensor,SparkFun,AS7331,Spectral UV A-B-C sensor,,,
GPSMODUL,sensor board,GPS module,Walfront,VK2828U7G5LF,GPS Module,,,
BMS4S40A,battery accessories,battery management system,,1644_7-4S-40A,BMS for 4 batteries in serie for 16.8 V and 40 A maximum,,,
BMS3S40A,battery accessories,battery management system,,1644_1-3S-40A,BMS for 3 batteries in serie for 12.6 V and 40 A maximum,,,
CMM12PIN,connectors,pin angle connectors,SAMTEC,TMM-106-01-LD-RA,Connectors with 12 pins at a angle of 90°,,,
PIC16F87,microcontroller,PIC,MICROCHIP,181798P,Fast switch,,,
HELESPV3,microcontroller,board,HELTEC, HIIT-WB32LAF, development board for esp32,,,
HELESPV2,microcontroller,board,HELTEC, HIIT-WB32LAF, development board for esp32,,,
